header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,wifi
Terrible customer experience,Yi Huei Lu,2026-06-09,Taiwan,"Terrible customer experience. Etihad Airways closed their local representative office in Taiwan and disabled their local toll-free line, leaving local passengers completely abandoned with zero communication channels. We are facing severe geopolitical conflict risks in the Middle East for our upcoming flights in late August, yet Etihad imposes discriminatory waiver policies. New bookings enjoy free changes, while loyal customers who booked earlier are forced to pay hefty change fees for facing the exact same war-zone risks. Frontline support only provides robotic, unhelpful automated templates.",,Family Leisure,Economy Class,Taipei to Milan via Abu Dabi,June 2026,no,Verified,1,,,,,1,,
misled regarding the compensation,Isabel Sanchez Alonso,2026-06-09,Spain,"We were denied boarding in February 2026 due to overbooking on flight EY101 from Abu Dhabi to Madrid despite having confirmed tickets. This flight was part of our return journey from the Maldives (Madrid–Malé–Madrid), which made the disruption even more significant after a long international trip. At Abu Dhabi Airport, airline staff informed us that compensation related to the denied boarding would be processed after we submitted a claim. Based on this information, we expected compensation reflecting the serious disruption caused by the overbooking and the fact that we arrived in Madrid more than 11 hours later than scheduled. However, after completing the claims process, the only compensation offered was a USD 200 voucher. This outcome was very different from the expectations created by the information provided at the airport. I cannot help feeling that we were misled regarding the compensation that would follow. Had we known that the final outcome would be a USD 200 voucher for three passengers after an 11-hour delay caused by overbooking, our expectations would have been very different. I am sharing this experience so that other passengers are aware of what happened and can make informed decisions if they find themselves in a similar situation.",,Family Leisure,Economy Class,Male to Madrid via Abu Dhabi,February 2026,no,Verified,1,4.0,4.0,,1.0,1,,
most disappointing airline experience,S Valenci,2026-06-05,Italy,"Etihad is a perfect example of a company that charges premium prices while delivering a substandard customer experience. Their customer service is among the worst I have ever dealt with. Before the flight, during the journey, and after the trip, every interaction felt like a battle. Nobody seems empowered to solve problems, communication is poor, and their internal processes are painfully inefficient. Etihad charges premium prices, but delivers a disappointing customer experience and does not issue refunds after a flight cancellation. The customer service is extremely difficult to reach and largely ineffective. Before, during, and after my trip, getting assistance felt impossible. Communication was poor, issues were not properly handled, and I was repeatedly passed between departments without receiving clear answers. What frustrated me most was the lack of transparency regarding procedures and requirements when support was needed. Instead of helping passengers, the process seemed designed to make resolving problems as difficult as possible. The onboard experience was average and certainly not worth the high fares. Overall, one of the most disappointing airline experiences I have had. I would not fly with Etihad again and would not recommend it.",,Couple Leisure,Economy Class,Rome to Hong Kong via Abu Dhabi,January 2026,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
unacceptable lack of customer support,Ana Silva,2026-05-22,Portugal,"Etihad cancelled our booking and failed to provide adequate support. After the cancellation, we repeatedly attempted to contact Etihad by phone in order to receive alternative flight options and assistance. Despite several attempts, we were left waiting every time, (once for more than 5 hours) without any support or viable travel alternatives being provided. The options offered were non-sense (as in not the same route we needed!). Therefore we were forced to purchase new tickets with another airline at our own expense. We submitted formal complaints and follow-up emails on 7 March, 8 March, 30 March, and 13 April, explaining the situation and requesting reimbursement of the alternative flights. Despite this, Etihad so far never formally replied to any of our communications. The airline later processed only a partial refund related to the unused flight segment, while ignoring the additional costs we incurred due to their failure to assist passengers. Etihad is not complying with EU law and this experience showed an unacceptable lack of customer support, communication, and responsibility toward passengers affected by cancellations.",,Solo Leisure,Economy Class,Narita to Lisbon via Abu Dhabi,March 2026,no,Verified,1,,,,,1,,
very enjoyable flights,Chris Sansom,2026-05-22,United Kingdom,"On the first leg CMB-AUH A320 had the exit row 3 seats to myself so comfortable, inflight catering of a high standard and cabin crew very good. The second flight on an A350-1000 that was relatively new had large entertainment screens and a good choice to view and listen to. A special mention goes who were very caring, professional and sociable. The Chicken Birryani and the pizza prior to landing very tasty. The crew offered drinks throughout the flight and the bar was open for top ups. Staff kept the washrooms refreshed throughout the flight. Very enjoyable flights.",A350-1000 / A320,Solo Leisure,Economy Class,Colombo to London Heathrow via Abu Dhabi,May 2026,yes,Verified,10,5.0,5.0,5.0,5.0,5,5.0,4.0
3 seats to myself,Chris Sansom,2026-05-22,United Kingdom,"Great flight with 3 seats to myself. The cabin crew were excellent, it was my Birthday during my week away I was served with a card, cake and drink. The catering and bar service led to a very comfortable journey and the large entertainment screens was easy to operate. The second flight on the A320 EY392 also very good.",A350-1000 / A320,Solo Leisure,Economy Class,London to Colombo via Abu Dhabi,May 2026,yes,Verified,10,5.0,5.0,5.0,5.0,5,5.0,4.0
Very disappointing experience,S Darkevi,2026-05-17,Saudi Arabia,"Very disappointed with the attitude of crew in general. After take off seatbelt sign went off , no-one of cabin crew walked down the aisle to check if pax were okay or needed anything. This was for over 30 minutes no sign of anyone in forward economy until the meal service. They ignored the call button that was kept on and refreshed for 25+minutes Toilets were not maintained clean. When asked to speak to person in charge .. aisle flight attendant said she was busy and ignored the request. Asked for green tea .. flight attendant never came back and when she passed and I asked again .. she said there was none and walked away. Headset was not working … after repeated requests to replace … finally after an hour it was replaced. On an 8 hour flight from Abu Dhabi to Mnl crew only came out during service and once to give water. Other than that they were not visible. Very disappointing experience with cabin crew as well as with check in staff at Riyadh airport. Service and attitude has slipped tremendously in dealing with economy passengers. What is happening to Etihad Airways?",,Solo Leisure,Economy Class,Riyadh to Manila via Abu Dhabi,May 2026,no,Verified,4,2.0,1.0,3.0,1.0,3,4.0,
final compensation was only USD 50,S Bahram,2026-05-13,Malaysia,"My baggage was damaged and after a long back-and-forth, their “final fair compensation” was only USD 50 or a travel voucher. Even worse, they closed the case and marked it as resolved despite my clear rejection of the offer and without my consent. I repeatedly contacted customer service, only to constantly hear “this is not our department” or “we cannot help you.” When I tried contacting the supposedly dedicated department via email, I was told the email address itself is inactive for claims handling. The irony is unbelievable — the department responsible for complaints apparently cannot even receive complaints.",,Solo Leisure,Economy Class,Riyadh to Kuala Lumpur via Abu Dhabi,March 2026,no,Verified,1,3.0,5.0,3.0,5.0,1,1.0,1.0
travel voucher I have repeatedly refused,L Pan,2026-04-25,Hong Kong,"40-hour delay, broken promises, and the disgrace of a 'Case Closed' without resolution. The ordeal began with flight EY871 on 20th December (HKG to AUH). Originally scheduled for 19:35, we were first told of a one-hour delay, which became four hours, before the flight was finally cancelled due to ""technical problems."" What followed was a complete failure in communication. Etihad only sent an email the following morning (21st Dec) rescheduling our flight to 12:30. This was seven hours earlier than the original daily schedule. The airline made zero effort to call or ensure we received this critical update. Had we not checked our emails at that specific moment, we would have missed the flight. To clear the terminal during the cancellatio, ground staff in Hong Kong instructed us to take a taxi home and promised a full refund of the expenses. Etihad has refused to reimburse the costs. The disruption continued on our return leg. Due to a delay from Casablanca, we missed our connecting flight to Hong Kong (EY870, scheduled for 31 Dec at 21:15). Instead of spending New Year's Eve as planned, we were stranded in Abu Dhabi and did not arrive home until 08:30 on 2nd January. Despite this 24-hour displacement on the return sector alone, Etihad has failed to provide an accurate Delay Certificate, preventing us from filing travel insurance claims. After four months of ""investigation,"" Etihad’s only response was an insulting USD 200 travel voucher, which I have repeatedly refused.  They simply chose to stop responding.",,Couple Leisure,Economy Class,Hong Kong to Casablanca via Abu Dhabi,December 2025,no,Verified,1,3.0,3.0,3.0,1.0,4,2.0,1.0
Choose any other airline,C Maltin,2026-04-19,Australia,"Horrible customer service. No help what so ever, hours on the phone to get assistance and any opportunity to charge extra fees. Then to board a plane and things in the seat broken. Choose any other airline. And charging extra for wifi after a ticket costing $7000",,Solo Leisure,Business Class,London to Sydney via Abu Dhabi,April 2026,no,Verified,1,1.0,1.0,2.0,1.0,1,2.0,1.0
